과목명,교수명,진행언어,수강시기,통합 후기수,한국어 후기수,영어 후기수,검색 alias
재무회계,최종학,한국어,Term1 Module 1,7,7,0,"Choi, Jong Hag, 재무회계, 최종학"
관리경제학,서경원,한국어,Term1 Module 1,4,4,0,"Seo, Kyoungwon, 관리경제학, 서경원"
Managerial Economics,Jungsuk Han,영어,Term1 Module 1,5,5,0,"한정석, Han, Jungsuk, Managerial Economics, Jungsuk Han"
Financial Accounting,Bokhyeon Baik,영어,Term1 Module 1,4,4,0,"백복현, Baik, Bokhyeon, Financial Accounting, Bokhyeon Baik"
인사 및 조직관리,김성수 / 이정연,한국어,Term1 Module 2,3,3,0,"Kim, Seongsu, Jeong Yeon Lee, 인사 및 조직관리, 김성수 / 이정연"
생산서비스운영,임재현,한국어,Term1 Module 2,8,8,0,"Lim, Michael K., 생산서비스운영, 임재현"
Managing People in Organizations,"Kim, Seongsu / Jeong Yeon Lee",영어,Term1 Module 2,4,4,0,"김성수, 이정연, Managing People in Organizations, Kim, Seongsu / Jeong Yeon Lee"
Operations Management,Hongsuk Yang,영어,Term1 Module 2,3,3,0,"양홍석, Yang, Hongsuk, Operations Management, Hongsuk Yang"
마케팅,송인성,한국어,Term1 Module 3,4,4,0,"Song, Inseong, 마케팅, 송인성"
경영정보,조우제,한국어,Term1 Module 3,5,5,0,"Cho, Wooje, 경영정보, 조우제"
Marketing,DaHee HAN,영어,Term1 Module 3,7,5,2,"한다희, Han, Da Hee, Marketing, DaHee HAN"
Information Technology,Jungjoo Jahng,영어,Term1 Module 3,2,2,0,"장정주, Jahng, Jungjoo, Information Technology, Jungjoo Jahng"
전략,송재용,한국어,Term2 Module 1,7,7,0,"Song, Jaeyong, 전략, 송재용"
재무관리,고봉찬,한국어,Term2 Module 1,4,4,0,"Kho, Bong-chan, 재무관리, 고봉찬"
Strategy,"Lee, Jeho",영어,Term2 Module 1,9,7,2,"이제호, Lee, Jeho, Strategy, Lee, Jeho"
Financial Management,Jongsub Lee,영어,Term2 Module 1,6,6,0,"이종섭, Lee, Jongsub, Financial Management, Jongsub Lee"
Organizational Behavior,Kim Sooyeol,영어,Term2 Module 2,3,2,1,"김수열, Kim, Sooyeol, Organizational Behavior, Kim Sooyeol"
Financial Engineering and Risk Management,Jungsuk Han,영어,Term2 Module 2,6,5,1,"한정석, Han, Jungsuk, Financial Engineering and Risk Management, Jungsuk Han"
Environmental Shifts and Strategic Innovation,Sun Hyun Park,영어,Term2 Module 2,4,3,1,"박선현, Park, Sun Hyun, Environmental Shifts and Strategic Innovation, Sun Hyun Park"
Machine Learning for Business,Seungki Min,영어,Term2 Module 2,6,5,1,"민승기, Min, Seungki, Machine Learning for Business, Seungki Min"
조직행동론,윤석화,한국어,Term2 Module 2,4,4,0,"윤석화, Yun, Seokhwa, 조직행동론, 윤석화"
조직설계,이경묵,한국어,Term2 Module 2,3,3,0,"이경묵, Lee, Kyungmook, 조직설계, 이경묵"
Supply Chain Analytics,"Lim, Michael K.",영어,Term2 Module 3,2,2,0,"임재현, Supply Chain Analytics, Lim, Michael K."
Derivatives,Jongsub Lee,영어,Term2 Module 3,2,2,0,"이종섭, Lee, Jongsub, Derivatives, Jongsub Lee"
Electronic Commerce,Byungjoon Yoo,영어,Term2 Module 3,4,2,2,"유병준, Yoo, Byungjoon, Electronic Commerce, Byungjoon Yoo"
Marketing Analytics,Sungho Park,영어,Term2 Module 3,4,4,0,"박성호, Park, Sungho, Marketing Analytics, Sungho Park"
경영리더십,윤석화,한국어,Term2 Module 3,2,2,0,"Yun, Seokhwa, 경영리더십, 윤석화"
기술경영,양홍석,한국어,Term2 Module 3,4,4,0,"양홍석, Yang, Hongsuk, 기술경영, 양홍석"
문화예술마케팅,김상훈,한국어,Term2 Module 3,4,4,0,"Kim, Sang-hoon, 문화예술마케팅, 김상훈"
관리회계,신재용,한국어,Term2 Module 3,4,4,0,"Shin, Jae Yong, 관리회계, 신재용"
New Venture Creation,Joon Mahn Lee,영어,Term3 Module 1,4,2,2,"이준만, Lee, Joon Mahn, New Venture Creation, Joon Mahn Lee"
Global Economy,Kaun-Hui Lee,영어,Term3 Module 1,2,2,0,"이관휘, Lee, Kuan-hui, Global Economy, Kaun-Hui Lee"
Data-Driven Decision-Making,Tae Woo Lee,영어,Term3 Module 1,6,5,1,"이태우, Lee, Taewoo, Data-Driven Decision-Making, Tae Woo Lee"
Compensation,Jeong-Yeon Lee,영어,Term3 Module 1,3,2,1,"이정연, Compensation, Jeong-Yeon Lee"
창조와 혁신,박남규,한국어,Term3 Module 1,2,2,0,"Park, Namgyoo K., 창조와 혁신, 박남규"
전략적 인적자본,강성춘,한국어,Term3 Module 1,3,3,0,"Kang, Sungchoon, 전략적 인적자본, 강성춘"
기업과 가치,석승훈,한국어,Term3 Module 1,4,4,0,"Seog, S. Hun, 기업과 가치, 석승훈"
Consumer Behavior,"Huh, Young Eun",영어,Term3 Module 2,2,1,1,"허영은, Huh, Young Eun, Consumer Behavior, Huh, Young Eun"
Accounting and Capital Markets,Jongho Kim,영어,Term3 Module 2,3,2,1,"김종호, Kim, Chongho, Accounting and Capital Markets, Jongho Kim"
Corporate Finance,"Joh, Sung Wook",영어,Term3 Module 2,0,0,0,"조성욱, Joh, Sung Wook, Corporate Finance, Joh, Sung Wook"
Digital Marketing,Jun Beom Kim,영어,Term3 Module 2,5,4,1,"김준범, Kim, Jun Beom, Digital Marketing, Jun Beom Kim"
회계정보의 분석과 활용,이우종,한국어,Term3 Module 2,8,8,0,"Lee, Woo-jong, 회계정보의 분석과 활용, 이우종"
디지털경영전략,노상규,한국어,Term3 Module 2,4,4,0,"Rho, Sangkyu, 디지털경영전략, 노상규"
Topics in Finance,David Schoenherr,영어,Term4 Module 1,4,3,1,"Schoenherr, David, Topics in Finance, David Schoenherr"
Portfolio Management,Jung-Wook Kim,영어,Term4 Module 1,4,3,1,"김정욱, Kim, Jung-wook, Portfolio Management, Jung-Wook Kim"
HR Analytics,Jeong-Yeon Lee,영어,Term4 Module 1,6,5,1,"이정연, Jeongyeon Lee, HR Analytics, Jeong-Yeon Lee"
Business Negotiation,Seung Ah Theresa Cho,영어,Term4 Module 1,8,6,2,"조승아, Cho, Theresa Seung Ah, Business Negotiation, Seung Ah Theresa Cho"
위험과 보험,박소정,한국어,Term4 Module 1,3,3,0,"Park, Sojung, 위험과 보험, 박소정"
기업세무전략,최선화,한국어,Term4 Module 1,4,4,0,"Choi, Sunhwa, 기업세무전략, 최선화"
AI and Strategic Management,"Kang, Hyo",영어,Term4 Module 2,7,6,1,"강효석, AI and Strategic Management, Kang, Hyo"
Topics in Marketing,Jun Beom Kim,영어,Term4 Module 2,2,2,0,"김준범, Kim, Jun Beom, Topics in Marketing, Jun Beom Kim"
Managing Teams,Jin Nam Choi,영어,Term4 Module 2,1,1,0,"최진남, Managing Teams, Jin Nam Choi"
경영의사결정을 위한 생성형 인공지능,박진수,한국어,Term4 Module 2,5,5,0,"Jinsoo Park, 경영의사결정을 위한 생성형 인공지능, 박진수"
재무제표분석과 기업가치평가,이용규,한국어,Term4 Module 2,4,4,0,"Lee, Yong Gyu, 재무제표분석과 기업가치평가, 이용규"
